Name;Type;Tier;Attack;Health;Text;Attack Golden;Health Golden;Text Golden;Buddy Of;Blizzard ID;Picture Link;Active;Duos only
Shadowy Construct;Undead;5;5;5;Deathrattle: Give this minion's maximum stats stats to another friendly minion.;10;10;Deathrattle: Give this minion's maximum stats stats to another friendly minion, twice.;Teron Gorefiend;BG25_HERO_103_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_HERO_103_Buddy.png;;
Sharkbait;Beast;5;4;2;Battlecry: Refresh your Hero Power.;8;4;Battlecry: Refresh your Hero Power.;Skycap'n Kragg;TB_BaconShop_HERO_68_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_68_Buddy.png;;
Shining Sailor;Pirate;5;4;7;After you buy 2 Pirates, gain +1/+1 and add a Pirate to the Tavern.;8;14;After you buy 2 Pirates, gain +2/+2 and add a Pirate to the Tavern.;Cap'n Hoggarr;BG26_HERO_101_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_HERO_101_Buddy.png;;
Sub Scrubber;Mech;5;6;6;After you play a Mech, gain +2/+2.;12;12;After you play a Mech, gain +4/+4.;Ini Stormcoil;BG22_HERO_200_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG22_HERO_200_Buddy.png;;
Submersible Chef;;5;4;3;Battlecry: Add a random Tier 1, 3, and 5 minion to your hand.;8;6;Battlecry: Add a random Tier 1, 3, and 5 minion to your hand twice.;Ambassador Faelin;BG22_HERO_201_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG22_HERO_201_Buddy.png;;
Talent Scout;;5;4;4;Battlecry: Make a Buddy Golden.;8;8;Battlecry: Make two Buddies Golden.;E.T.C., Band Manager;BG25_HERO_105_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG25_HERO_105_Buddy.png;;
Ticket Collector;;5;6;6;When you sell this, Discover a Darkmoon Prize from the next Tier.;12;12;When you sell this, Discover 2 Darkmoon Prizes from the next Tier.;Tickatus;TB_BaconShop_HERO_94_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_94_Buddy.png;;
Tuskarr Raider;Pirate;5;4;4;Battlecry: Give a minion +1/+1 for each Pirate you played this game.;8;8;Battlecry: Give a minion +2/+2 for each Pirate you played this game.;Patches the Pirate;TB_BaconShop_HERO_18_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_18_Buddy.png;;
Vaelastrasz;Dragon;5;6;6;Battlecry and Start of Combat: Give your other minions +3/+3.;12;12;Battlecry and Start of Combat: Give your other minions +6/+6.;Alexstrasza;TB_BaconShop_HERO_56_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_56_Buddy.png;;
Wandering Treant;;5;2;7;Whenever a friendly Taunt minion is attacked, give your minions +1 Attack permanently.;4;14;Whenever a friendly Taunt minion is attacked, give your minions +2 Attack permanently.;Greybough;TB_BaconShop_HERO_95_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_95_Buddy.png;;
Box Cars;Mech;6;6;6;At the start of your turn, roll a 6-sided die. Discover a Tavern spell of that Tier.;12;12;At the start of your turn, roll two 6-sided die. Discover a Tavern spell from each of those Tiers.;Snake Eyes;BG28_HERO_400_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_HERO_400_Buddy.png;;
Death's Head Sage;Undead|Quilboar;6;3;7;After you get a Blood Gem, get an extra one.;6;14;After you get a Blood Gem, get two extra.;Death Speaker Blackthorn;BG20_HERO_103_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_HERO_103_Buddy.png;;
Glorious Gloopling;;6;6;1;At the start of your turn, get a plain copy of your teammate's highest-Tier minion (except Buddies).;12;2;At the start of your turn, get 2 plain copies of your teammate's highest-Tier minion (except Buddies).;Flobbidinous Floop;BGDUO_HERO_101_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGDUO_HERO_101_Buddy.png;;1
Imperial Defender;Naga;6;4;8;Whenever you cast a Spellcraft spell on a different friendly minion, you also cast it on this.;8;16;Whenever you cast a Spellcraft spell on a different friendly minion, you also cast it on this twice.;Queen Azshara;BG22_HERO_007_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG22_HERO_007_Buddy.png;;
Master Gadrin;;6;7;6;Minions targeted by 'Spirit Swap' also gain each other's Health.;14;12;Minions targeted by 'Spirit Swap' also gain double each other's Health.;Vol'jin;BG20_HERO_201_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_HERO_201_Buddy.png;;
Nathanos Blightcaller;Undead;6;6;6;Battlecry: Remove a friendly minion. Give its stats to its neighbors.;12;12;Battlecry: Remove a friendly minion. Give double its stats to its neighbors.;Sylvanas Windrunner;BG23_HERO_306_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_HERO_306_Buddy.png;;
Piloted Whirl-O-Tron;Mech;6;6;4;Start of Combat: Copy all other friendly minions' Deathrattles (except Piloted Whirl-o-Tron).;12;8;Start of Combat: Copy all other friendly minions' Deathrattles, twice (except Piloted Whirl-o-Tron).;Sneed;BG21_HERO_030_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG21_HERO_030_Buddy.png;;
The Nine Frogs;Beast;6;9;9;After you buy a minion, get a random Tavern spell from the same Tier. (9 left!);18;18;After you buy a minion, get 2 random Tavern spells from the same Tier. (9 left!);Doctor Holli'dae;BG28_HERO_801_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_HERO_801_Buddy.png;;
